Ref,Val,Package,PosX,PosY,Rot,Side
"R10","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.330000,-156.760000,0.000000,top
"R11","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.130000,-156.760000,0.000000,top
"R12","3K57,1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.830000,-151.060000,0.000000,top
"R13","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.400000,-147.837500,180.000000,top
"R14","1K15,1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.830000,-152.960000,180.000000,top
"R15","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.020000,-159.730000,90.000000,top
"R16","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.500000,-150.500000,90.000000,top
"R17","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.500000,-146.700000,90.000000,top
"R18","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.040000,-107.700000,-90.000000,top
"R19","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.040000,-114.200000,-90.000000,top
"R20","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.040000,-120.700000,-90.000000,top
"R21","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.040000,-127.200000,-90.000000,top
"R22","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-107.700000,-90.000000,top
"R23","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-114.200000,-90.000000,top
"R24","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-120.700000,-90.000000,top
"R25","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-127.200000,-90.000000,top
"R26","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-133.700000,-90.000000,top
"R27","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.240000,-140.200000,-90.000000,top
"R28","50R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.690000,-142.600000,-90.000000,top
